X,Y,Z,Cu,Mo
3500.0,2369.3557,4972.2871,-0.5942054211124796,-3.540424966831559
3500.0,2362.5459,4958.9224,-0.6014781672182681,-3.5755150551589585
3500.0,2355.7358,4945.5571,-0.597835182575455,-2.6310752711736427
3500.0,2348.926,4932.1919,-0.6161842875736797,-3.6496202801618196
3500.0,2342.1162,4918.8267,-0.6292319786454446,-3.77221758573727
3500.0,2335.3064,4905.4619,-0.6217553222776132,-3.77221758573727
3500.0,2328.4966,4892.0967,-0.6124874325257426,-3.729659782835556
3500.0,2321.6865,4878.7314,-0.6292319786454446,-3.101070567236505
3500.0,2314.8767,4865.3662,-0.1358185776678186,-1.1615488935589087
3500.0,2308.0669,4852.0015,-0.2704959370825493,-0.9063379257765256
3500.0,2301.2571,4838.6362,-0.38713267867047524,-2.4418356661407383
3500.0,2294.4473,4825.271,-0.527631047168554,-2.8646864674418295
3500.0,2287.6375,4811.9062,-0.5361417223500322,-2.9187527140708096
3500.0,2280.8274,4798.541,-0.5691594339960626,-3.101070567236505
3500.0,2274.0176,4785.1758,-0.45412870528753574,-2.5770087808876334
3500.0,2267.2078,4771.8105,-0.5960186549488367,-3.036533434957924
3500.0,2260.3979,4758.4458,-0.6143341517085282,-3.5065245645421914
3500.0,2253.5881,4745.0806,-0.5673942115875099,-3.1941588223313637
3500.0,2246.7781,4731.7153,-0.4620338722962311,-2.688232868031808
3500.0,2239.9683,4718.3506,-0.5568678170682223,-3.324208563134045
3500.0,2233.1584,4704.9854,-0.5833945244877364,-3.2968103396761093
3500.0,2226.3486,4691.6201,-0.5124920114189995,-3.270142803812532
3500.0,2219.5388,4678.2549,-0.5158364905490618,-3.4419881266706813
3500.0,2212.729,4664.8901,-0.5726992544360047,-3.473735816952755
3500.0,2205.9189,4651.5249,-0.54817968020745,-3.611881376626625
3500.0,2199.1091,4638.1597,-0.6236192522414336,-3.729659782835556
3500.0,2192.2993,4624.7944,-0.6143341517085282,-3.729659782835556
3500.0,2185.4895,4611.4297,-0.5412831130391169,-2.7646046797007062
3500.0,2178.6797,4598.0645,-0.5960186549488367,-3.540424966831559
3500.0,2171.8699,4584.6992,-0.5744738746450899,-2.513293778706893
3500.0,2165.0598,4571.3345,-0.6088041938925898,-3.473735816952755
3500.0,2158.25,4557.9692,-0.5942054211124796,-3.540424966831559
3500.0,2151.4402,4544.604,-0.570927777925758,-3.6496202801618196
3500.0,2144.6304,4531.2388,-0.6069676494581909,-3.611881376626625
3500.0,2137.8206,4517.874,-0.5744738746450899,-3.473735816952755
3500.0,2131.0105,4504.5088,-0.5293273975391223,-3.5065245645421914
3099.95,4405.6548,5310.0625,-0.47803418804107467,-3.5065245645421914
3099.95,4410.1948,5301.1523,-0.3147093749776248,-3.4419881266706813
3099.95,4417.0044,5287.7876,-0.26526717383476595,-2.659245751320532
3099.95,4423.8145,5274.4224,-0.47803418804107467,-3.2188508251806955
3099.95,4430.6245,5261.0571,-0.42924410067643726,-2.8823857312635677
3099.95,4437.4341,5247.6924,-0.3581031061341856,-2.6310752711736427
3099.95,4444.2441,5234.3271,-0.3710622321165199,-2.343396670901887
3099.95,4451.0537,5220.9619,-0.4185488279011357,-2.6450613175329654
3099.95,4457.8638,5207.5967,-0.1335302497680328,-2.6450613175329654
